Device cuda
step: 0, loss: 1.278565526008606
step: 10, loss: 0.6787569522857666
step: 20, loss: 0.41104838252067566
step: 30, loss: 0.6402860879898071
step: 40, loss: 0.6057965755462646
step: 50, loss: 0.5835853219032288
step: 60, loss: 0.5504858493804932
step: 70, loss: 0.34750083088874817
step: 80, loss: 0.43212854862213135
step: 90, loss: 0.5340831875801086
step: 100, loss: 0.48351091146469116
step: 110, loss: 0.45697498321533203
step: 120, loss: 0.12207441031932831
step: 130, loss: 0.3649377226829529
step: 140, loss: 0.23089514672756195
step: 150, loss: 0.18717095255851746
step: 160, loss: 0.08154390752315521
step: 170, loss: 0.19270919263362885
step: 180, loss: 0.10993222147226334
step: 190, loss: 0.36468505859375
step: 200, loss: 0.047299034893512726
step: 210, loss: 0.14325056970119476
step: 220, loss: 0.12873117625713348
step: 230, loss: 0.06035677343606949
step: 240, loss: 0.2049175202846527
step: 250, loss: 0.027457434684038162
step: 260, loss: 0.11242720484733582
step: 270, loss: 0.03337843343615532
step: 280, loss: 0.15132278203964233
step: 290, loss: 0.014753147959709167
step: 300, loss: 0.015982549637556076
step: 310, loss: 0.11664650589227676
step: 320, loss: 0.004952631890773773
step: 330, loss: 0.18355333805084229
step: 340, loss: 0.042815305292606354
step: 350, loss: 0.33732062578201294
step: 360, loss: 0.07156579196453094
step: 370, loss: 0.019238172098994255
step: 380, loss: 0.09738771617412567
step: 390, loss: 0.016171038150787354
step: 400, loss: 0.007333148270845413
step: 410, loss: 0.008990079164505005
step: 420, loss: 0.026370469480752945
step: 430, loss: 0.06953175365924835
step: 440, loss: 0.16552186012268066
step: 450, loss: 0.01613054797053337
step: 460, loss: 0.20362545549869537
step: 470, loss: 0.03246050700545311
step: 480, loss: 0.009671997278928757
step: 490, loss: 0.31042927503585815
step: 500, loss: 0.059198830276727676
step: 510, loss: 0.0059533193707466125
step: 520, loss: 0.01828964427113533
step: 530, loss: 0.08436388522386551
step: 540, loss: 0.012939691543579102
step: 550, loss: 0.016927093267440796
step: 560, loss: 0.08736132085323334
step: 570, loss: 0.16568928956985474
step: 580, loss: 0.013146810233592987
step: 590, loss: 0.03748645633459091
step: 600, loss: 0.11321301013231277
step: 610, loss: 0.06009260565042496
step: 620, loss: 0.07546141743659973
step: 630, loss: 0.21691882610321045
step: 640, loss: 0.06294097751379013
step: 650, loss: 0.02681298553943634
step: 660, loss: 0.18355776369571686
step: 670, loss: 0.051339782774448395
step: 680, loss: 0.13260497152805328
step: 690, loss: 0.01990364119410515
step: 700, loss: 0.025307277217507362
step: 710, loss: 0.021783381700515747
step: 720, loss: 0.0025212764739990234
step: 730, loss: 0.016499090939760208
step: 740, loss: 0.008639078587293625
step: 750, loss: 0.16887575387954712
step: 760, loss: 0.02710360288619995
step: 770, loss: 0.13987776637077332
step: 780, loss: 0.037135131657123566
step: 790, loss: 0.0721237063407898
step: 800, loss: 0.03858862817287445
step: 810, loss: 0.008421137928962708
step: 820, loss: 0.049706872552633286
step: 830, loss: 0.0646805465221405
step: 840, loss: 0.12884049117565155
step: 850, loss: 0.01483282819390297
step: 860, loss: 0.5374560356140137
step: 870, loss: 0.07392428070306778
step: 880, loss: 0.016174111515283585
step: 890, loss: 0.041868604719638824
step: 900, loss: 0.05426526814699173
step: 910, loss: 0.13276873528957367
step: 920, loss: 0.09141060709953308
step: 930, loss: 0.01130872592329979
step: 940, loss: 0.027067121118307114
step: 950, loss: 0.08358342200517654
step: 960, loss: 0.34683746099472046
step: 970, loss: 0.20873618125915527
step: 980, loss: 0.029072118923068047
step: 990, loss: 0.02300923876464367
step: 1000, loss: 0.2892940044403076
step: 1010, loss: 0.7568394541740417
step: 1020, loss: 0.13332155346870422
step: 1030, loss: 0.10400569438934326
